,author,message,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
324,username@kknriaddCa,Real Americas love you Mr. President!! you are annointed by God! do not give up,12:30,,,,,,
325,username@aentlmtalt,May God bless us with 4 more years of Trump administration,12:31,,,,,,
326,username@**** *****,Four more years,12:32,,,,,,
327,username@ayelekyiMH,trumps win for putin russia,12:34,,,,,,
328,username@rrnWrCns r,TRUST TRUMP,12:36,,,,,,
329,username@O oOofOofO,TRUMP WON,12:36,,,,,,
330,username@abyarbBaTh,Canada loves you T dog,12:37,,,,,,
331,username@y vaDvDaee,"What about the Native people?? ""Thanksgiving"" is the day of mourning!",12:38,,,,,,
332,username@rcmeOerAAv,Biden 2020,12:42,,,,,,
333,username@ee AlieLle,Biden will bee impeached BEFORE They take office LOVE'S!!!,12:45,,,,,,
334,username@aMMMsrMnn.,my body my choice,12:45,,,,,,
335,username@oeieegdzJz,🦃🦃🦃🦃🦃🦃🦃🦃,12:47,,,,,,
336,username@linalCllal,go away Trump! 😝😝😝😝😝😝😝,12:48,,,,,,
337,username@h37338h183,Only president who has a heart since jfk,12:52,,,,,,
338,username@oLsnoeencL,He talks so fast cuz he wants to go golfing,12:56,,,,,,
339,username@odsaGs Gih,Trump 2020 !! We Love You and your family God Bless!!,12:57,,,,,,
340,username@ygmen toMo,I love my president!! Trump 2020 and Trump Forever!!,12:57,,,,,,
341,username@ueMgyMigg,We love president Trump,13:01,,,,,,
342,username@nt DhAtnny,Iden = 👹,13:03,1,,,,,
343,username@allvvvAlAe,Putting Joe Biden gone by brain 🧠 of old man running for president...is an elderly abuse event. stop the abuse. stop the steal.,13:03,1,,,,,
344,username@Pua P n Pn,🌽🦃🦃,13:07,,,,,,
345,username@kkswrekawl,would take Biden till next thanksgiving reading this out,13:07,,,,,,
346,username@oiiDehnoon,I hope he doesn't pardon Creepy Joe to that would be a shame!,13:13,,,,,,
347,username@arrhlalHne,Happy Thanksgiving. Thank you Mr President for standing up for freedom!!!,13:13,,,,,,
348,username@aBaboalrr,Thank you for very good presidential time.,13:14,,,,,,
349,username@tthtuohoeh,You are the greatest President Trump. Weak Biden will sell us out.,13:16,,,,1,,
350,username@llnaaaalka,"PRESIDENT TRUMP, YOU ARE FABULOUS",13:17,,,,,,
351,username@o pnvee  o,Better get ready for Martial law just as you want folks!Youll change your mind wuickly🤷🏼‍♀️,13:19,,,,1,,
352,username@y20o220000,Biden -- time for real & true leadership!!!,13:20,,,,,,
353,username@ihCirNCrei,Mayors are causing the starvation.,13:21,,,,,,
354,username@pi eibtGeJ,Dont give up you will be our president for 4 more years,13:21,,,,,,
355,username@ariVctcrrs,the draft dodger is praising the military,13:21,,,,1,,
356,username@3cyljayk0k,Thank you Trump,13:22,,,,,,
357,username@Hn neJJyee,TRUMP LOST LOLOLOLOLOL,13:22,,,,,,
358,username@b ehnlky e,",*",13:22,,,,,,
359,username@o opyol Sn,Trump will have a successful tv career for all of you obsessed fools in love with a proven liar.,13:28,,,,,,
360,username@oarirFaiTT,Viva Donald Trump. we love you from Italy.,13:29,,,,,,
361,username@iAsAolseio,VACCINE VACCINE. TAKING CREDIT FOR EVERYTHING,13:32,,,,,,
362,username@aaTiiaTmie,i am locked out of twitter again @TheFlame1965 @BorchardtReal IM IN IOWA BOSS PREZ!!! CAN YOU HELP ME GET MY ACCOUNT BACK PLEASE? I HAVE TEXTNOW APP FOR PHONE AND THEY WON RECOGNIZE IT... PLEASE?,13:33,,,,1,,
363,username@eeefSrnffm,How can you lose to the WORST opp EVER,13:33,1,,,,,
364,username@rthlConnhi,I hear we can only get together with six on Thanksgiving (six people) but if you have a funeral you can make it 30 so we are having a funeral for our pet turkey on Thursday friends and family invited.,13:34,,,,1,,
365,username@lgsmem1ils,:yt:,13:40,,,,,,
366,username@aanManna M,Loser,13:41,1,,,,,
367,username@oTKnoKntmm,THANK GOD FOR PRES ELECT BIDEN,13:42,,,,,,
368,username@FF NFNF FN,"Trump won, he is our President 2Terms, Stop the Steal",13:43,,,,,,
369,username@rrMLMeeMMM,Trump has never been to Epstein Island Biden has gone over twenty times,13:46,,,,1,,
370,username@wAn..GA..E,"I hate Don, but I agree. It’s call China virus not COVID-19, blame the gov’t of China. #ChinaVirus",13:46,,1,,,,
371,username@DsD iaraTT,"God Bless You President Trump and Our Beautiful First Lady, and your wonderful family!",13:48,,,,,,
372,username@nalrrav a,BONE SPURS,13:49,,,,,,
373,username@lnhylGaMzl,Thank you President Trump and First Lady Melania for being OUR PRESIDENT AND FIRST LADY GOD BLESS YOU BOTH Thanks for pardoning Corn and Cob,13:51,,,,,,
374,username@E akittt n,"better enjoy it trump, cause it's the only turkey you get to pardon ahah",13:56,1,,,,,
375,username@BE. KK DDU,"CORN and COB - Anyone think Trump is TROLLING Biden's ""CORN POP"" story ??? 🤔😋",13:57,,,,,,
376,username@csi kciiV,Trump our Great President !!!!!!,13:59,,,,,,
377,username@rlrtttnfht,GOD HELP US THANKYOU TRUMP FOR ALL YOU HAVE DONE THE WAR HAS JUST BEGUN,14:00,,,,,,
378,username@CeChhhnsCh,Kinda sad to see him leave,14:00,,,,,,
379,username@eGmmjsssom,"The Trump Family is a joke.... Funny, the Turkey talks, and Gobbles. 👉Pardon the Country👈 👉Pardon the Turkey👈. Pardon Trump, Pardon Me. Gobble, Gobble, Gobble, Gobble. Pardon The Stock Market.",14:01,,,,1,,
380,username@irMiceTr y,maga 2020,14:02,,,,,,
381,username@e  ddeeaae,VIVA TRUMP from Canada,14:03,,,,,,
382,username@lOglllllgg,The best President ! 🥰👏🏻👏🏻👏🏻 Happy Thanksgiving everyone!,14:07,,,,,,
383,username@i hkokynsk,❤❤❤ ❤❤❤ ❤❤❤,14:07,,,,,,
384,username@ieiiisensn,God is using this election to clean house through President trump and he will still be our president Jan 20,14:11,,,,,,
385,username@grarornang,We love please fight the fight.,14:11,,,,,,
386,username@hr33esr3ei,Thanks for the advice... bye!!!!!!,14:21,,,,,,
387,username@h3cscohhcp,Creepy Joey Bidet,14:22,1,,,,,1
388,username@nn yynSJun,BIDEN=Orange suit in JAIL!!!!,14:24,1,,,,,1
389,username@Ptta iPiiP,Tremendous feeling Biden will be coming 🥶🥶🥶,14:24,,,,,,
390,username@stnaasnsia,4 more years of Liberal tears,14:26,,,,,,
391,username@iInIsngtpI,a true leader. not afraid to call it what it is. the China virus,14:26,,,,,,
392,username@laeHeiamHl,What a big turkey 🦃,14:31,,,,,,
393,username@bbooeeblrb,Trump,14:33,,,,,,
394,username@WeNN gaaia,awwwwwww,14:35,,,,,,
395,username@t6m7ddd0mm,You are an Amazing President and YOU are not a POLITICIAN! Thank God for you Donald John Trump! Four more years!,14:35,,,,,,
396,username@epMaazakeo,"Trump should also pardon himself, together with the turkeys...before Biden takes over.",14:35,1,,,,,
397,username@Se-sclevek,Great!! another super spreader event!,14:36,,,,,,
398,username@eel enednE,The best president since Ronald Reagan🌹🥰🌹🥰l,14:36,,,,,,
399,username@nSnSnccnca,HAHAHAHAHAHAAH Trump is the only Turkey in the WH,14:40,,,,,,
400,username@oRme ehnRe,Stop the steal!! God Bless America! How can you hate those who love freedom and Liverty,14:42,,,,,,
401,username@renGJe hse,FAKE NEWS!!!!,14:45,,,,,,
402,username@nnnn naaaa,Enjoy YOUR life Mr.President!!!,14:49,,1,,,1,
403,username@ evNRneeNe,"Thank You President Trump! Best president in our lifetime! We love you, your family & your administration! Looking forward to the next 4 years! Drain the swamp FOR GOOD!",14:49,,,,,,
404,username@aaaaMMMacM,Audio sucks,14:50,,,,,,
405,username@KtKei i g,"VIVA TRUMP,, MELANIA",14:52,,,,,,
406,username@eoobB Breg,Thank You MR. PRESIDENT!! Four More Years!! MAGA!!,14:53,,,,,,
407,username@rCMM C lC,lucky turkey❤,14:57,,,,,,
408,username@SmXXYmTero,The blessed American,15:03,,,,,,
409,username@e dwndwean,That’s a beautiful turkey,15:03,,,,,,
410,username@1316YnYn3g,Biden 2020,15:03,,,,,,
411,username@od7 aay a7,🦃🦃🦃🦃🙏🙏🙏🙏🙏🙏,15:05,,,,,,
412,username@22deeebl1l,We love Trump!,15:05,,,,,,
413,username@eolTT Te o,Trump legend,15:06,,,,,,
414,username@nkelkk1e1k,TRUMP 20202:thanksdoc::thanksdoc::thanksdoc::thanksdoc::thanksdoc::thanksdoc::washhands::washhands::washhands::washhands::washhands::washhands::washhands:🥰🥰🥰,15:07,,,,,,
415,username@eoufetlffu,pretty bird,15:08,,,,,,
416,username@ dnRSndySS,We love you President Trump 💯❤️,15:08,,,,,,
417,username@onAotAno n,God Bless you Mr President. We are thankful to God for your fight. The Deceivers are the end times. The truth blocks all deception. You are not a deceiver. Hold fast.,15:08,,,,,,
418,username@zAlezlA_AA,fix your mic,15:12,,,,,,
419,username@C nyepredr,@satya devi... what about the untouchables your family from india discriminates against in perpetuity....you have the nerve!!,15:12,,,,,,
420,username@nJng F eni,❤❤❤TRUMP❤❤❤,15:12,,,,,,
421,username@aaAiaaal i,FOR PRESIDENT - DONALD TRUMP!,15:13,,,,,,
422,username@tnnmySSyhm,Stop The Steal,15:13,,,,,,
423,username@ea onseeLn,God Bless America ! and President Trump,15:15,,,,,,
424,username@LopetLp tL,Trump Forever!!!,15:15,,,,,,
425,username@tnncctoooC,Joe pardon Donald!!,15:15,,,,,,
426,username@rhhrhkaeee,"Don law Team will come in the right time , trump",15:15,,,,,,
427,username@oeieegdzJz,now go pet the nice bird without drooling,15:15,1,,,,,
428,username@EBY OBBO E,TRUMP FOREVER,15:17,,,,,,
429,username@anWs-ia-k-,BIDEN 2020,15:18,,,,,,
430,username@naV tnn  e,Nice turkey ❤,15:19,,,,,,
431,username@IIddniiIdo,He’s waiting for the Turkey to pardon him back,15:21,,,,,,
432,username@eterFgreas,Someone stuff a sock in the Presses mouth.,15:22,1,,,,1,
433,username@BtthncnahB,trump2020,15:23,,,,,,
434,username@maffmfdd r,THE ONE AND ONLY WE LOVE YOU PRESIDENT TRUMP...HAPPY THANKSGIVING OUR BEST FIRST FAMILY EVER,15:23,,,,,,
435,username@Hl HiHlila,☺️💛,15:23,,,,,,
436,username@ MHH H   H,GRACIAS MR PRESIDENT TRUMP ❤️ WE LOVE YOU ❤️,15:23,,,,,,
437,username@3cyljayk0k,🦃🦃🦃🦃,15:25,,,,,,
438,username@O oOofOofO,Trump is the best President ever!,15:26,,,,,,
439,username@ edenyyH a,By the spring of 2021 the nation will not be climbing anymore.,15:27,,,,,,
440,username@Pua P n Pn,*🕴🕴🕴🕴🕴*,15:27,,,,,,
441,username@d ddddil l,Use gun to protect our president and constitution,15:28,,,,,1,
442,username@ZTV ZPET P,lmao,15:29,,,,,,
443,username@uHHettttnt,💜💜💜💜💜,15:30,,,,,,
444,username@laaaaJassm,I hate trump,15:31,1,,,,,
445,username@hhih umsus,"Wait for when those turkey's in the swamp, realize you are not going anywhere.",15:32,,,,,,
446,username@h37338h183,Activist reporters from hell,15:32,1,,,1,,
447,username@oeeidJe Hn,God Bless you and your family Mr.President.,15:33,,,,,,
448,username@eaneaaM aa,❤️,15:33,,,,,,
449,username@iAsAolseio,Trump's hair resembles the turkey,15:33,,,,,,
450,username@yan yaaaen,TRUMP,15:34,,,,,,
451,username@rvRRAieArv,go Trump,15:34,,,,,,
452,username@aehmueRhRp,Fk Acosta,15:34,1,,,,,1
453,username@KaioGgbmKg,"WE LOVE YOU PRESIDENT TRUMP, MELANIA YOU ARE THE WINNER THEY CHEATED COMPLETELY CLEVER DISGUSTING CORRUPT CROOKS",15:34,1,,,1,,
454,username@aaTiiaTmie,IOWA LOVES YOU MY POTUS!!!!! BIDEN SUCKS,15:35,,,,,,
455,username@gCh eJ .CJ,"we love you, Trump!",15:36,,,,,,
456,username@ly lsereyt,Trump lost,15:37,,,,,,
457,username@  nnSS  ne,We love you trump ❤️❤️❤️,15:37,,,,,,
458,username@fyfLyaLWfn,Going by the video title I figured he was trying to pardon himself.,15:38,,,,,,
459,username@h kcleeikp,FAKE CNN FAKE NEWS YELLING ALWAYS 💀,15:38,,,,,,
460,username@hjw jhwlse,they are messing up bidens desk,15:38,,,,,,
461,username@KMKKKr  K,One term POTUS,15:38,,,,,,
462,username@eessdePyse,"All u haters will really love what's coming, If you get exactly what you've been asking for say goodbye to all of your freedoms including bashing the politicians and country.",15:38,,,,,,
463,username@DacclhDi l,listen to those nasty d bag reporters,15:40,,,,,,1
464,username@nt DhAtnny,Help Cuommo won’t let me breath,15:40,,,,1,,
465,username@bnnytO yhO,l still pray that Mr president Trump more 4 years...,15:41,,,,,,
466,username@usaycRsRsc,Why do they let the News attend this event? All they do is shout their hair brained questions.,15:42,1,,,1,,
