,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words
54,"I vote for you, you vote for me We're a very distrusting family With a paper ballot and no counting machines Across the table checking from me to you Won't you say that ballot is true?",0.0,0.0,0.0,1.0,0.0,0.0,"I vote for you, you vote for me We are a very distrusting family With a paper ballot and no counting machines Across the table checking from me to you Will not you say that ballot is true?","[('I', 'PRON'), ('vote', 'VERB'), ('for', 'ADP'), ('you', 'PRON'), (',', 'PUNCT'), ('you', 'PRON'), ('vote', 'VERB'), ('for', 'ADP'), ('I', 'PRON'), ('we', 'PRON'), ('be', 'AUX'), ('a', 'DET'), ('very', 'ADV'), ('distrust', 'VERB'), ('family', 'NOUN'), ('with', 'ADP'), ('a', 'DET'), ('paper', 'NOUN'), ('ballot', 'NOUN'), ('and', 'CCONJ'), ('no', 'DET'), ('count', 'VERB'), ('machine', 'NOUN'), ('across', 'ADP'), ('the', 'DET'), ('table', 'NOUN'), ('check', 'VERB'), ('from', 'ADP'), ('I', 'PRON'), ('to', 'ADP'), ('you', 'PRON'), ('will', 'AUX'), ('not', 'PART'), ('you', 'PRON'), ('say', 'VERB'), ('that', 'SCONJ'), ('ballot', 'NOUN'), ('be', 'AUX'), ('true', 'ADJ'), ('?', 'PUNCT')]","{'PRON': 8, 'VERB': 6, 'ADP': 6, 'PUNCT': 2, 'AUX': 3, 'DET': 4, 'ADV': 1, 'NOUN': 6, 'CCONJ': 1, 'PART': 1, 'SCONJ': 1, 'ADJ': 1}",vote vote very distrust family paper ballot count machine table check not say ballot true,PRON VERB ADP PRON PUNCT PRON VERB ADP PRON PRON AUX DET ADV VERB NOUN ADP DET NOUN NOUN CCONJ DET VERB NOUN ADP DET NOUN VERB ADP PRON ADP PRON AUX PART PRON VERB SCONJ NOUN AUX ADJ PUNCT,0.0,vote for vote for be very distrust family with paper ballot and count machine across table check from to will not say ballot be true,1,2,
55,I love America. Thank you so much for voting the clown out. Biden 2020 ❤️❤️❤️🤙,0.0,0.0,0.0,0.0,0.0,0.0,I love America. Thank you so much for voting the clown out. Biden 2020 ❤️❤️❤️🤙,"[('I', 'PRON'), ('love', 'VERB'), ('America', 'PROPN'), ('.', 'PUNCT'), ('thank', 'VERB'), ('you', 'PRON'), ('so', 'ADV'), ('much', 'ADV'), ('for', 'ADP'), ('vote', 'VERB'), ('the', 'DET'), ('clown', 'NOUN'), ('out', 'ADP'), ('.', 'PUNCT'), ('biden', 'NOUN'), ('2020', 'NUM'), ('❤️', 'EMOJI'), ('❤️', 'EMOJI'), ('❤️', 'EMOJI'), ('🤙', 'EMOJI')]","{'PRON': 2, 'VERB': 3, 'PROPN': 2, 'PUNCT': 2, 'ADV': 2, 'ADP': 2, 'DET': 1, 'NOUN': 5, 'NUM': 2, 'ADJ': 2}",love america thank so much vote clown biden 2020 ❤ ️ ❤ ️ ❤ ️ 🤙,PRON VERB PROPN PUNCT VERB PRON ADV ADV ADP VERB DET NOUN ADP PUNCT NOUN NUM EMOJI EMOJI EMOJI EMOJI,1.0,love america thank so much for vote clown out biden 2020,1,2,
56,Bye Drump pawn boy,0.0,0.0,0.0,0.0,0.0,0.0,Bye Drump pawn boy,"[('Bye', 'PROPN'), ('Drump', 'PROPN'), ('pawn', 'NOUN'), ('boy', 'NOUN')]","{'PROPN': 2, 'NOUN': 2}",bye drump pawn boy,PROPN PROPN NOUN NOUN,1.0,bye drump pawn boy,0,0,drump
57,its 7.5 million for bidens transition team right?,0.0,0.0,0.0,0.0,0.0,0.0,its 7.5 million for bidens transition team right?,"[('its', 'PRON'), ('7.5', 'NUM'), ('million', 'NUM'), ('for', 'ADP'), ('biden', 'NOUN'), ('transition', 'NOUN'), ('team', 'NOUN'), ('right', 'ADJ'), ('?', 'PUNCT')]","{'PRON': 1, 'NUM': 2, 'ADP': 1, 'NOUN': 3, 'ADJ': 1, 'PUNCT': 1}",7.5 million biden transition team right,PRON NUM NUM ADP NOUN NOUN NOUN ADJ PUNCT,1.0,7.5 million for biden transition team right,0,2,
58,.....gn,0.0,0.0,0.0,0.0,0.0,0.0,.....gn,"[('.....', 'PUNCT'), ('gn', 'PROPN')]","{'PUNCT': 1, 'PROPN': 1}",..... gn,PUNCT PROPN,1.0,..... gn,0,5,gn
59,how can you live Biden Ben?? you must look into him . he's signed your country over to communist China. he is a puppet. you should be scared what is happening to your country.,0.0,0.0,0.0,1.0,0.0,0.0,how can you live Biden Ben?? you must look into him . he is signed your country over to communist China. he is a puppet. you should be scared what is happening to your country.,"[('how', 'ADV'), ('can', 'AUX'), ('you', 'PRON'), ('live', 'VERB'), ('Biden', 'PROPN'), ('Ben', 'PROPN'), ('?', 'PUNCT'), ('?', 'PUNCT'), ('you', 'PRON'), ('must', 'AUX'), ('look', 'VERB'), ('into', 'ADP'), ('he', 'PRON'), ('.', 'PUNCT'), ('he', 'PRON'), ('be', 'AUX'), ('sign', 'VERB'), ('your', 'PRON'), ('country', 'NOUN'), ('over', 'ADP'), ('to', 'ADP'), ('communist', 'ADJ'), ('China', 'PROPN'), ('.', 'PUNCT'), ('he', 'PRON'), ('be', 'AUX'), ('a', 'DET'), ('puppet', 'NOUN'), ('.', 'PUNCT'), ('you', 'PRON'), ('should', 'AUX'), ('be', 'VERB'), ('scared', 'ADJ'), ('what', 'PRON'), ('be', 'AUX'), ('happen', 'VERB'), ('to', 'ADP'), ('your', 'PRON'), ('country', 'NOUN'), ('.', 'PUNCT')]","{'ADV': 1, 'AUX': 6, 'PRON': 9, 'VERB': 5, 'PROPN': 3, 'PUNCT': 6, 'ADP': 4, 'NOUN': 3, 'ADJ': 2, 'DET': 1}",how live biden ben look sign country communist china puppet be scared happen country,ADV AUX PRON VERB PROPN PROPN PUNCT PUNCT PRON AUX VERB ADP PRON PUNCT PRON AUX VERB PRON NOUN ADP ADP ADJ PROPN PUNCT PRON AUX DET NOUN PUNCT PRON AUX VERB ADJ PRON AUX VERB ADP PRON NOUN PUNCT,0.0,how can live biden ben must look into be sign country over to communist china be puppet should be scared be happen to country,0,6,
60,Is this another peace deal? Or what?,0.0,0.0,0.0,0.0,0.0,0.0,Is this another peace deal? Or what?,"[('be', 'AUX'), ('this', 'DET'), ('another', 'DET'), ('peace', 'NOUN'), ('deal', 'NOUN'), ('?', 'PUNCT'), ('or', 'CCONJ'), ('what', 'PRON'), ('?', 'PUNCT')]","{'AUX': 1, 'DET': 2, 'NOUN': 2, 'PUNCT': 2, 'CCONJ': 1, 'PRON': 1}",peace deal,AUX DET DET NOUN NOUN PUNCT CCONJ PRON PUNCT,1.0,be peace deal or,0,2,
61,"47 years of nothing , joe is nothing more than nothing!",0.0,0.0,0.0,0.0,0.0,0.0,"47 years of nothing , joe is nothing more than nothing!","[('47', 'NUM'), ('year', 'NOUN'), ('of', 'ADP'), ('nothing', 'PRON'), (',', 'PUNCT'), ('joe', 'PROPN'), ('be', 'AUX'), ('nothing', 'PRON'), ('more', 'ADJ'), ('than', 'SCONJ'), ('nothing', 'PRON'), ('!', 'PUNCT')]","{'NUM': 1, 'NOUN': 1, 'ADP': 1, 'PRON': 3, 'PUNCT': 2, 'PROPN': 1, 'AUX': 1, 'ADJ': 1, 'SCONJ': 1}",47 year joe more,NUM NOUN ADP PRON PUNCT PROPN AUX PRON ADJ SCONJ PRON PUNCT,1.0,47 year of joe be more,0,2,
62,People like you will pay,0.0,0.0,0.0,0.0,0.0,0.0,People like you will pay,"[('People', 'NOUN'), ('like', 'ADP'), ('you', 'PRON'), ('will', 'AUX'), ('pay', 'VERB')]","{'NOUN': 1, 'ADP': 1, 'PRON': 1, 'AUX': 1, 'VERB': 1}",people pay,NOUN ADP PRON AUX VERB,1.0,people like will pay,0,0,
63,"Yeah, whatever, Pompeo, we know who pays your tab",0.0,0.0,0.0,0.0,0.0,0.0,"Yeah, whatever, Pompeo, we know who pays your tab","[('yeah', 'INTJ'), (',', 'PUNCT'), ('whatever', 'DET'), (',', 'PUNCT'), ('Pompeo', 'PROPN'), (',', 'PUNCT'), ('we', 'PRON'), ('know', 'VERB'), ('who', 'PRON'), ('pay', 'VERB'), ('your', 'PRON'), ('tab', 'NOUN')]","{'INTJ': 1, 'PUNCT': 3, 'DET': 1, 'PROPN': 1, 'PRON': 3, 'VERB': 2, 'NOUN': 1}",yeah pompeo know pay tab,INTJ PUNCT DET PUNCT PROPN PUNCT PRON VERB PRON VERB PRON NOUN,1.0,yeah pompeo know pay tab,0,3,pompeo
64,Every country executes atrocities against their people in one way or another.,0.0,0.0,0.0,0.0,0.0,0.0,Every country executes atrocities against their people in one way or another.,"[('every', 'DET'), ('country', 'NOUN'), ('execute', 'VERB'), ('atrocity', 'NOUN'), ('against', 'ADP'), ('their', 'PRON'), ('people', 'NOUN'), ('in', 'ADP'), ('one', 'NUM'), ('way', 'NOUN'), ('or', 'CCONJ'), ('another', 'DET'), ('.', 'PUNCT')]","{'DET': 2, 'NOUN': 4, 'VERB': 1, 'ADP': 2, 'PRON': 1, 'NUM': 1, 'CCONJ': 1, 'PUNCT': 1}",country execute atrocity people one way,DET NOUN VERB NOUN ADP PRON NOUN ADP NUM NOUN CCONJ DET PUNCT,1.0,country execute atrocity against people in one way or,0,1,
65,:yt::yt::yt::yt::yt::yt::yt::yt::yt:,0.0,0.0,0.0,0.0,0.0,0.0,:yt::yt::yt::yt::yt::yt::yt::yt::yt:,"[(':', 'PUNCT'), ('yt::yt::yt::yt::yt::yt::yt::yt::yt', 'PROPN'), (':', 'PUNCT')]","{'PUNCT': 2, 'PROPN': 1}",yt::yt::yt::yt::yt::yt::yt::yt::yt,PUNCT PROPN PUNCT,1.0,yt::yt::yt::yt::yt::yt::yt::yt::yt,0,18,yt::yt::yt::yt::yt::yt::yt::yt::yt
66,america starting another war ?,0.0,0.0,0.0,0.0,0.0,0.0,america starting another war ?,"[('america', 'PROPN'), ('start', 'VERB'), ('another', 'DET'), ('war', 'NOUN'), ('?', 'PUNCT')]","{'PROPN': 1, 'VERB': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1}",america start war,PROPN VERB DET NOUN PUNCT,1.0,america start war,0,1,
67,"When other countries see how much money can be made by being a democratic republic, they won't want to be anything else! 😀 😀 😀",0.0,0.0,0.0,0.0,0.0,0.0,"When other countries see how much money can be made by being a democratic republic, they will not want to be anything else! 😀 😀 😀","[('when', 'ADV'), ('other', 'ADJ'), ('country', 'NOUN'), ('see', 'VERB'), ('how', 'ADV'), ('much', 'ADJ'), ('money', 'NOUN'), ('can', 'AUX'), ('be', 'AUX'), ('make', 'VERB'), ('by', 'ADP'), ('be', 'VERB'), ('a', 'DET'), ('democratic', 'ADJ'), ('republic', 'NOUN'), (',', 'PUNCT'), ('they', 'PRON'), ('will', 'AUX'), ('not', 'PART'), ('want', 'VERB'), ('to', 'PART'), ('be', 'VERB'), ('anything', 'PRON'), ('else', 'ADV'), ('!', 'PUNCT'), ('😀', 'EMOJI'), ('😀', 'EMOJI'), ('😀', 'EMOJI')]","{'ADV': 3, 'ADJ': 3, 'NOUN': 5, 'VERB': 5, 'AUX': 3, 'ADP': 1, 'DET': 1, 'PUNCT': 3, 'PRON': 2, 'PART': 2}",when other country see how much money make be democratic republic not want to be else 😀 😀 😀,ADV ADJ NOUN VERB ADV ADJ NOUN AUX AUX VERB ADP VERB DET ADJ NOUN PUNCT PRON AUX PART VERB PART VERB PRON ADV PUNCT EMOJI EMOJI EMOJI,1.0,when other country see how much money can be make by be democratic republic will not want to be else,0,2,
68,"you want Joe to officially usher in the New World Order? Communist leader Xi would be pleased. You will be tracked everywhere you go, digital currency so you can have no cash to carry and hold,",0.0,0.0,0.0,1.0,0.0,0.0,"you want Joe to officially usher in the New World Order? Communist leader Xi would be pleased. You will be tracked everywhere you go, digital currency so you can have no cash to carry and hold,","[('you', 'PRON'), ('want', 'VERB'), ('Joe', 'PROPN'), ('to', 'PART'), ('officially', 'ADV'), ('usher', 'VERB'), ('in', 'ADP'), ('the', 'DET'), ('New', 'PROPN'), ('World', 'PROPN'), ('order', 'NOUN'), ('?', 'PUNCT'), ('communist', 'ADJ'), ('leader', 'NOUN'), ('Xi', 'PROPN'), ('would', 'AUX'), ('be', 'VERB'), ('pleased', 'ADJ'), ('.', 'PUNCT'), ('you', 'PRON'), ('will', 'AUX'), ('be', 'AUX'), ('track', 'VERB'), ('everywhere', 'ADV'), ('you', 'PRON'), ('go', 'VERB'), (',', 'PUNCT'), ('digital', 'ADJ'), ('currency', 'NOUN'), ('so', 'SCONJ'), ('you', 'PRON'), ('can', 'AUX'), ('have', 'VERB'), ('no', 'DET'), ('cash', 'NOUN'), ('to', 'PART'), ('carry', 'VERB'), ('and', 'CCONJ'), ('hold', 'VERB'), (',', 'PUNCT')]","{'PRON': 4, 'VERB': 8, 'PROPN': 4, 'PART': 2, 'ADV': 2, 'ADP': 1, 'DET': 2, 'NOUN': 4, 'PUNCT': 4, 'ADJ': 3, 'AUX': 4, 'SCONJ': 1, 'CCONJ': 1}",want joe to officially usher new world order communist leader xi be pleased track everywhere go digital currency have cash to carry hold,PRON VERB PROPN PART ADV VERB ADP DET PROPN PROPN NOUN PUNCT ADJ NOUN PROPN AUX VERB ADJ PUNCT PRON AUX AUX VERB ADV PRON VERB PUNCT ADJ NOUN SCONJ PRON AUX VERB DET NOUN PART VERB CCONJ VERB PUNCT,0.0,want joe to officially usher in new world order communist leader xi would be pleased will be track everywhere go digital currency can have cash to carry and hold,0,4,usher xi
69,Jim you are funny,0.0,0.0,0.0,0.0,0.0,0.0,Jim you are funny,"[('Jim', 'PROPN'), ('you', 'PRON'), ('be', 'AUX'), ('funny', 'ADJ')]","{'PROPN': 1, 'PRON': 1, 'AUX': 1, 'ADJ': 1}",jim funny,PROPN PRON AUX ADJ,1.0,jim be funny,0,0,
70,biden is not in at least not yet look at the actual electoral college numbers. biden 35 trump 60 something,0.0,0.0,0.0,0.0,0.0,0.0,biden is not in at least not yet look at the actual electoral college numbers. biden 35 trump 60 something,"[('biden', 'NOUN'), ('be', 'AUX'), ('not', 'PART'), ('in', 'ADP'), ('at', 'ADP'), ('least', 'ADJ'), ('not', 'PART'), ('yet', 'ADV'), ('look', 'VERB'), ('at', 'ADP'), ('the', 'DET'), ('actual', 'ADJ'), ('electoral', 'ADJ'), ('college', 'NOUN'), ('number', 'NOUN'), ('.', 'PUNCT'), ('biden', 'NOUN'), ('35', 'NUM'), ('trump', 'NOUN'), ('60', 'NUM'), ('something', 'PRON')]","{'NOUN': 5, 'AUX': 1, 'PART': 2, 'ADP': 3, 'ADJ': 3, 'ADV': 1, 'VERB': 1, 'DET': 1, 'PUNCT': 1, 'NUM': 2, 'PRON': 1}",biden not least not yet look actual electoral college number biden 35 trump 60,NOUN AUX PART ADP ADP ADJ PART ADV VERB ADP DET ADJ ADJ NOUN NOUN PUNCT NOUN NUM NOUN NUM PRON,1.0,biden be not in at least not yet look at actual electoral college number biden 35 trump 60,0,1,number
71,"Revised Punkpeo ""There will now be a smooth transition to a 1st Biden administration."" 😂😂😂😂🤣🤣👍",0.0,0.0,0.0,0.0,0.0,0.0,"Revised Punkpeo ""There will now be a smooth transition to a 1st Biden administration."" 😂😂😂😂🤣🤣👍","[('revised', 'ADJ'), ('Punkpeo', 'PROPN'), ('""', 'PUNCT'), ('there', 'PRON'), ('will', 'AUX'), ('now', 'ADV'), ('be', 'VERB'), ('a', 'DET'), ('smooth', 'ADJ'), ('transition', 'NOUN'), ('to', 'ADP'), ('a', 'DET'), ('1st', 'ADJ'), ('Biden', 'PROPN'), ('administration', 'NOUN'), ('.', 'PUNCT'), ('""', 'PUNCT'), ('😂', 'EMOJI'), ('😂', 'EMOJI'), ('😂', 'EMOJI'), ('😂', 'EMOJI'), ('🤣', 'EMOJI'), ('🤣', 'EMOJI'), ('👍', 'EMOJI')]","{'ADJ': 3, 'PROPN': 6, 'PUNCT': 3, 'PRON': 1, 'AUX': 1, 'ADV': 1, 'VERB': 1, 'DET': 2, 'NOUN': 2, 'ADP': 1, 'X': 3}",revised punkpeo now be smooth transition 1st biden administration 😂 😂 😂 😂 🤣 🤣 👍,ADJ PROPN PUNCT PRON AUX ADV VERB DET ADJ NOUN ADP DET ADJ PROPN NOUN PUNCT PUNCT EMOJI EMOJI EMOJI EMOJI EMOJI EMOJI EMOJI,1.0,revised punkpeo will now be smooth transition to 1st biden administration,0,3,punkpeo
72,Andrew Cuomo is a dictator,1.0,0.0,0.0,1.0,0.0,0.0,Andrew Cuomo is a dictator,"[('Andrew', 'PROPN'), ('Cuomo', 'PROPN'), ('be', 'AUX'), ('a', 'DET'), ('dictator', 'NOUN')]","{'PROPN': 2, 'AUX': 1, 'DET': 1, 'NOUN': 1}",andrew cuomo dictator,PROPN PROPN AUX DET NOUN,0.0,andrew cuomo be dictator,0,0,
73,He's nervous,0.0,0.0,0.0,0.0,0.0,0.0,He is nervous,"[('he', 'PRON'), ('be', 'AUX'), ('nervous', 'ADJ')]","{'PRON': 1, 'AUX': 1, 'ADJ': 1}",nervous,PRON AUX ADJ,1.0,be nervous,0,0,
74,Great Barrington Declaration - real doctors vs lockdownistas,1.0,0.0,0.0,1.0,0.0,0.0,Great Barrington Declaration - real doctors vs lockdownistas,"[('Great', 'PROPN'), ('Barrington', 'PROPN'), ('Declaration', 'PROPN'), ('-', 'PUNCT'), ('real', 'ADJ'), ('doctor', 'NOUN'), ('vs', 'ADP'), ('lockdownista', 'NOUN')]","{'PROPN': 3, 'PUNCT': 1, 'ADJ': 1, 'NOUN': 2, 'ADP': 1}",great barrington declaration real doctor lockdownista,PROPN PROPN PROPN PUNCT ADJ NOUN ADP NOUN,0.0,great barrington declaration real doctor vs lockdownista,0,1,barrington lockdownista
75,who else is looking forward to the Great Reset?,0.0,0.0,0.0,0.0,0.0,0.0,who else is looking forward to the Great Reset?,"[('who', 'PRON'), ('else', 'ADV'), ('be', 'AUX'), ('look', 'VERB'), ('forward', 'ADV'), ('to', 'ADP'), ('the', 'DET'), ('Great', 'PROPN'), ('Reset', 'PROPN'), ('?', 'PUNCT')]","{'PRON': 1, 'ADV': 2, 'AUX': 1, 'VERB': 1, 'ADP': 1, 'DET': 1, 'PROPN': 2, 'PUNCT': 1}",else look forward great reset,PRON ADV AUX VERB ADV ADP DET PROPN PROPN PUNCT,1.0,else be look forward to great reset,0,1,
76,RIGGED ELECTION!!!!!!,0.0,0.0,0.0,0.0,0.0,0.0,RIGGED ELECTION!!!!!!,"[('RIGGED', 'PROPN'), ('ELECTION', 'PROPN'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'PROPN': 2, 'PUNCT': 6}",rigged election,PROPN PROPN PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT,1.0,rigged election,2,6,
77,WWE goes to Saudi!,1.0,0.0,0.0,0.0,0.0,0.0,WWE goes to Saudi!,"[('WWE', 'PROPN'), ('go', 'VERB'), ('to', 'ADP'), ('Saudi', 'PROPN'), ('!', 'PUNCT')]","{'PROPN': 2, 'VERB': 1, 'ADP': 1, 'PUNCT': 1}",wwe go saudi,PROPN VERB ADP PROPN PUNCT,0.0,wwe go to saudi,1,1,wwe
78,"Losers still mad Trump lost, they can't take Ls its sad :c",0.0,0.0,0.0,0.0,0.0,0.0,"Losers still mad Trump lost, they cannot take Ls its sad :c","[('loser', 'NOUN'), ('still', 'ADV'), ('mad', 'ADJ'), ('Trump', 'PROPN'), ('lose', 'VERB'), (',', 'PUNCT'), ('they', 'PRON'), ('can', 'AUX'), ('not', 'PART'), ('take', 'VERB'), ('Ls', 'PROPN'), ('its', 'PRON'), ('sad', 'ADJ'), (':', 'PUNCT'), ('c', 'X')]","{'NOUN': 1, 'ADV': 1, 'ADJ': 2, 'PROPN': 2, 'VERB': 2, 'PUNCT': 2, 'PRON': 2, 'AUX': 1, 'PART': 1, 'X': 1}",loser still mad trump lose not take ls sad c,NOUN ADV ADJ PROPN VERB PUNCT PRON AUX PART VERB PROPN PRON ADJ PUNCT X,1.0,loser still mad trump lose can not take ls sad c,0,2,
79,uneducated people would vote for biden. disgrace to Usa,1.0,0.0,0.0,1.0,0.0,1.0,uneducated people would vote for biden. disgrace to Usa,"[('uneducated', 'ADJ'), ('people', 'NOUN'), ('would', 'AUX'), ('vote', 'VERB'), ('for', 'ADP'), ('biden', 'NOUN'), ('.', 'PUNCT'), ('disgrace', 'NOUN'), ('to', 'ADP'), ('Usa', 'PROPN')]","{'ADJ': 1, 'NOUN': 3, 'AUX': 1, 'VERB': 1, 'ADP': 2, 'PUNCT': 1, 'PROPN': 1}",uneducated people vote biden disgrace usa,ADJ NOUN AUX VERB ADP NOUN PUNCT NOUN ADP PROPN,0.0,uneducated people would vote for biden disgrace to usa,0,1,
80,ehhh ehhh ehhhhhhhhhh,0.0,0.0,0.0,0.0,0.0,0.0,ehhh ehhh ehhhhhhhhhh,"[('ehhh', 'ADJ'), ('ehhh', 'ADJ'), ('ehhhhhhhhhh', 'INTJ')]","{'ADJ': 2, 'INTJ': 1}",ehhh ehhh ehhhhhhhhhh,ADJ ADJ INTJ,1.0,ehhh ehhh ehhhhhhhhhh,0,0,ehhh ehhh ehhhhhhhhhh
81,All we know is that we don't know the truth,0.0,0.0,0.0,0.0,0.0,0.0,All we know is that we do not know the truth,"[('all', 'DET'), ('we', 'PRON'), ('know', 'VERB'), ('be', 'AUX'), ('that', 'SCONJ'), ('we', 'PRON'), ('do', 'AUX'), ('not', 'PART'), ('know', 'VERB'), ('the', 'DET'), ('truth', 'NOUN')]","{'DET': 2, 'PRON': 2, 'VERB': 2, 'AUX': 2, 'SCONJ': 1, 'PART': 1, 'NOUN': 1}",know not know truth,DET PRON VERB AUX SCONJ PRON AUX PART VERB DET NOUN,1.0,know be do not know truth,0,0,
82,Raise your hand if you remember the Kuwaiti ambassadors daughter lying to the American public about Iraqis throwing babies out of incubator?,0.0,0.0,0.0,0.0,0.0,0.0,Raise your hand if you remember the Kuwaiti ambassadors daughter lying to the American public about Iraqis throwing babies out of incubator?,"[('raise', 'VERB'), ('your', 'PRON'), ('hand', 'NOUN'), ('if', 'SCONJ'), ('you', 'PRON'), ('remember', 'VERB'), ('the', 'DET'), ('Kuwaiti', 'PROPN'), ('ambassador', 'NOUN'), ('daughter', 'NOUN'), ('lie', 'VERB'), ('to', 'ADP'), ('the', 'DET'), ('american', 'ADJ'), ('public', 'NOUN'), ('about', 'ADP'), ('Iraqis', 'PROPN'), ('throw', 'VERB'), ('baby', 'NOUN'), ('out', 'SCONJ'), ('of', 'ADP'), ('incubator', 'NOUN'), ('?', 'PUNCT')]","{'VERB': 4, 'PRON': 2, 'NOUN': 6, 'SCONJ': 2, 'DET': 2, 'PROPN': 2, 'ADP': 3, 'ADJ': 1, 'PUNCT': 1}",raise hand remember kuwaiti ambassador daughter lie american public iraqis throw baby incubator,VERB PRON NOUN SCONJ PRON VERB DET PROPN NOUN NOUN VERB ADP DET ADJ NOUN ADP PROPN VERB NOUN SCONJ ADP NOUN PUNCT,1.0,raise hand remember kuwaiti ambassador daughter lie to american public about iraqis throw baby of incubator,0,1,
